path,hazard,gcm,rp,epoch
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_5000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,5000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_60_YR_RP.tif,cyclone,HadGEM3-GC31-HM,60,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_600_YR_RP.tif,cyclone,HadGEM3-GC31-HM,600,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_6000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,6000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_70_YR_RP.tif,cyclone,HadGEM3-GC31-HM,70,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_700_YR_RP.tif,cyclone,HadGEM3-GC31-HM,700,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_7000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,7000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_80_YR_RP.tif,cyclone,HadGEM3-GC31-HM,80,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_800_YR_RP.tif,cyclone,HadGEM3-GC31-HM,800,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_8000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,8000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_90_YR_RP.tif,cyclone,HadGEM3-GC31-HM,90,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_900_YR_RP.tif,cyclone,HadGEM3-GC31-HM,900,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_9000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,9000,2050
